,SeniorCitizen,Partner,Dependents,PhoneService,PaperlessBilling,MonthlyCharges,TotalCharges,Churn,gender_Female,gender_Male,MultipleLines_False,MultipleLines_True,InternetService_DSL,InternetService_Fiber optic,OnlineSecurity_False,OnlineSecurity_True,OnlineBackup_False,OnlineBackup_True,DeviceProtection_False,DeviceProtection_True,TechSupport_False,TechSupport_True,StreamingTV_False,StreamingTV_True,StreamingMovies_False,StreamingMovies_True,Contract_Month-to-month,Contract_One year,Contract_Two year,PaymentMethod_Bank transfer (automatic),PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,tenure_group_1 - 12,tenure_group_13 - 24,tenure_group_25 - 36,tenure_group_37 - 48,tenure_group_49 - 60,tenure_group_61 - 72
1455,False,True,False,True,True,106.05000305175781,3834.39990234375,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0
1456,False,True,False,True,True,100.0,1534.75,0,1,0,0,1,0,1,1,0,0,1,1,0,1,0,0,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0
1457,False,True,False,True,True,108.30000305175781,4586.14990234375,0,0,1,0,1,0,1,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0
1459,False,False,False,True,True,99.6500015258789,5941.0498046875,0,1,0,1,0,0,1,1,0,0,1,0,1,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0
1460,False,False,False,True,True,85.30000305175781,424.1499938964844,0,0,1,0,1,0,1,1,0,0,1,0,1,1,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0
1461,False,True,False,True,False,95.9000015258789,2234.949951171875,0,0,1,0,1,0,1,0,1,1,0,1,0,0,1,0,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0
1463,False,False,False,True,False,70.4000015258789,281.0,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0
1464,False,False,False,True,False,64.94999694824219,547.7999877929688,0,0,1,1,0,1,0,0,1,1,0,1,0,0,1,1,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0
1465,False,True,True,True,False,74.5999984741211,74.5999984741211,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0
1466,False,True,True,True,True,49.20000076293945,571.1500244140625,0,0,1,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0
1467,False,False,False,True,True,73.75,1756.5999755859375,0,1,0,0,1,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0
1468,False,False,False,True,True,92.30000305175781,5731.4501953125,0,0,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1
1469,False,False,False,True,False,98.80000305175781,3475.550048828125,0,0,1,0,1,0,1,1,0,1,0,1,0,0,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0
1471,False,True,False,True,False,88.6500015258789,2683.199951171875,0,0,1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0
1472,False,True,True,True,True,74.4000015258789,896.75,0,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0
1473,False,False,False,True,True,98.75,2407.300048828125,0,1,0,0,1,0,1,1,0,1,0,0,1,1,0,0,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0
1474,False,True,True,True,True,95.94999694824219,4456.64990234375,0,0,1,0,1,0,1,1,0,0,1,0,1,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0
1475,True,True,False,True,False,105.4000015258789,6998.9501953125,0,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1
1477,False,True,True,True,True,106.0,6547.7001953125,0,0,1,0,1,0,1,0,1,0,1,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1
1478,False,False,False,True,True,104.69999694824219,4346.39990234375,0,0,1,0,1,0,1,1,0,0,1,0,1,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0
1482,True,False,False,True,True,96.8499984741211,1235.550048828125,0,1,0,1,0,0,1,1,0,1,0,0,1,1,0,0,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0
1483,False,True,True,True,True,69.75,3562.5,0,1,0,1,0,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0
1484,True,True,False,True,True,99.19999694824219,7213.75,0,1,0,1,0,0,1,1,0,0,1,0,1,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1
1485,True,False,False,True,True,96.69999694824219,2082.949951171875,0,0,1,0,1,0,1,1,0,1,0,1,0,1,0,0,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0
1486,False,False,False,True,True,55.04999923706055,102.75,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0
1487,False,False,False,True,True,106.80000305175781,5914.39990234375,0,1,0,0,1,0,1,1,0,0,1,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0
1488,False,False,False,True,False,51.25,51.25,0,0,1,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
1489,False,True,True,True,True,57.75,1282.8499755859375,0,1,0,1,0,1,0,0,1,0,1,1,0,0,1,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0
1490,True,True,False,True,True,70.8499984741211,4738.85009765625,0,1,0,0,1,1,0,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1
1492,True,False,False,True,True,88.19999694824219,1775.800048828125,0,0,1,0,1,0,1,1,0,0,1,1,0,1,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0
1493,False,False,False,True,True,79.5,795.6500244140625,0,0,1,1,0,0,1,0,1,1,0,0,1,1,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0
1495,False,True,True,True,False,98.1500015258789,4993.39990234375,0,1,0,0,1,0,1,0,1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0
1497,False,True,True,True,True,79.1500015258789,4018.550048828125,0,1,0,1,0,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0
1498,True,False,False,True,False,75.6500015258789,1146.6500244140625,0,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0
1499,True,True,False,True,True,94.25,6081.39990234375,0,0,1,0,1,0,1,1,0,0,1,0,1,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1
1502,False,True,False,True,True,55.349998474121094,2633.949951171875,0,0,1,0,1,1,0,0,1,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0
1503,True,False,False,True,True,102.1500015258789,4735.35009765625,0,1,0,0,1,0,1,1,0,1,0,0,1,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0
1504,False,False,False,True,True,71.0999984741211,1247.75,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0
1505,True,False,False,True,True,74.69999694824219,74.69999694824219,0,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0
1508,True,True,True,True,True,88.44999694824219,2130.550048828125,0,1,0,1,0,0,1,1,0,0,1,0,1,1,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0
1509,False,False,False,True,True,76.6500015258789,1313.550048828125,0,0,1,1,0,0,1,1,0,1,0,0,1,1,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0
1510,False,True,False,True,False,80.4000015258789,5727.14990234375,0,0,1,0,1,1,0,0,1,0,1,0,1,0,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1
1512,False,True,True,True,True,84.80000305175781,1203.9000244140625,0,1,0,0,1,0,1,1,0,1,0,1,0,1,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0
1515,False,False,False,True,True,68.5999984741211,2877.050048828125,0,1,0,0,1,1,0,1,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0
1516,False,True,False,True,False,92.5999984741211,1579.699951171875,0,1,0,0,1,0,1,1,0,1,0,1,0,1,0,0,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0
1517,False,True,False,True,True,100.55000305175781,5514.9501953125,0,0,1,0,1,0,1,0,1,1,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0
1521,False,False,False,True,False,67.44999694824219,2443.300048828125,0,0,1,0,1,1,0,0,1,0,1,0,1,0,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0
1522,False,False,False,True,True,68.8499984741211,1970.5,0,1,0,1,0,1,0,0,1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0
1523,False,False,False,True,False,43.54999923706055,335.3999938964844,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
1524,False,False,False,True,True,109.8499984741211,7002.9501953125,0,1,0,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1
1526,False,False,False,True,False,95.4000015258789,293.1499938964844,0,1,0,1,0,0,1,1,0,0,1,1,0,1,0,0,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0
1528,False,False,False,True,True,56.20000076293945,1093.4000244140625,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0
1530,False,True,True,True,False,90.0,190.0500030517578,0,0,1,1,0,0,1,1,0,1,0,0,1,0,1,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0
1533,False,False,False,True,False,75.3499984741211,1025.949951171875,0,1,0,1,0,0,1,1,0,1,0,0,1,1,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0
1535,True,True,False,True,False,64.19999694824219,475.0,0,0,1,0,1,1,0,0,1,0,1,1,0,0,1,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0
1536,False,True,True,True,True,75.75,5388.14990234375,0,0,1,1,0,1,0,0,1,0,1,0,1,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1
1537,False,True,True,True,True,78.94999694824219,5730.14990234375,0,1,0,0,1,1,0,1,0,0,1,1,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1
1538,False,False,False,True,False,100.8499984741211,819.5499877929688,0,0,1,0,1,0,1,1,0,0,1,1,0,1,0,0,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0
1539,False,True,True,True,False,50.29999923706055,217.10000610351562,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0
1540,False,True,True,True,True,80.30000305175781,4896.35009765625,0,0,1,1,0,0,1,1,0,0,1,0,1,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1
1543,False,True,False,True,False,69.94999694824219,330.1499938964844,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0
1544,False,True,False,True,True,50.0,1474.9000244140625,0,0,1,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0
1545,False,False,False,True,True,104.75,6536.5,0,0,1,0,1,0,1,1,0,0,1,0,1,1,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1
1547,False,True,False,True,True,107.5,6873.75,0,1,0,0,1,0,1,1,0,0,1,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1
1548,False,True,True,True,False,85.9000015258789,2199.050048828125,0,0,1,1,0,0,1,1,0,1,0,1,0,0,1,0,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0
1549,False,False,False,True,True,45.849998474121094,45.849998474121094,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
1550,True,True,False,True,True,80.80000305175781,457.1000061035156,0,0,1,0,1,0,1,1,0,1,0,0,1,1,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0
1552,False,True,True,True,False,80.55000305175781,2471.60009765625,0,1,0,0,1,1,0,1,0,0,1,1,0,0,1,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0
1553,False,True,True,True,True,81.5,3107.300048828125,0,1,0,1,0,0,1,1,0,1,0,0,1,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0
1555,False,True,False,True,True,106.0999984741211,5769.75,0,1,0,1,0,0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0
1556,False,False,False,True,False,91.69999694824219,91.69999694824219,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0
1557,False,False,False,True,True,67.25,832.2999877929688,0,0,1,0,1,1,0,0,1,0,1,1,0,0,1,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0
1558,False,False,False,True,True,95.5999984741211,1555.6500244140625,0,1,0,0,1,0,1,1,0,0,1,0,1,1,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0
1561,False,False,False,True,True,74.94999694824219,74.94999694824219,0,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0
1563,True,False,False,True,False,69.3499984741211,261.6499938964844,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0
1564,True,False,False,True,True,95.3499984741211,898.3499755859375,0,0,1,0,1,0,1,1,0,1,0,1,0,1,0,0,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0
1565,False,False,False,True,True,81.55000305175781,4509.5,0,1,0,1,0,0,1,1,0,0,1,0,1,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0
1566,False,True,True,True,True,75.4000015258789,5480.25,0,0,1,1,0,1,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1
1567,False,True,False,True,True,67.80000305175781,653.1500244140625,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0
1568,True,False,False,True,True,111.4000015258789,1183.050048828125,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0
1569,False,True,True,True,False,46.29999923706055,639.4500122070312,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0
1572,True,False,False,True,False,45.0,127.0999984741211,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0
1573,False,True,True,True,True,96.0999984741211,4391.4501953125,0,0,1,1,0,0,1,0,1,0,1,0,1,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0
1575,False,False,False,True,False,99.5,6710.5,0,0,1,1,0,0,1,1,0,0,1,0,1,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1
1576,True,True,False,True,True,60.650001525878906,3975.89990234375,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1
1577,False,True,True,True,False,98.5999984741211,1704.949951171875,0,1,0,1,0,0,1,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0
1578,False,False,False,True,True,59.5,415.95001220703125,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
1579,True,True,False,True,True,80.44999694824219,950.2000122070312,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0
1580,True,True,False,True,False,71.69999694824219,1497.050048828125,0,1,0,0,1,1,0,1,0,0,1,0,1,1,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0
1582,False,True,True,True,False,65.19999694824219,3512.14990234375,0,1,0,0,1,1,0,0,1,1,0,1,0,1,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0
1583,False,True,True,True,True,48.95000076293945,273.25,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0
1585,False,True,False,True,False,80.44999694824219,3375.89990234375,0,0,1,0,1,1,0,0,1,1,0,1,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0
1586,False,True,True,True,True,109.05000305175781,7508.5498046875,0,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1
1588,True,False,False,True,True,106.80000305175781,5347.9501953125,0,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0
1589,True,False,False,True,True,64.94999694824219,493.6499938964844,0,1,0,1,0,1,0,1,0,0,1,0,1,1,0,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0
1592,False,True,True,True,True,77.94999694824219,3384.0,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0
1595,True,False,False,True,True,74.69999694824219,165.39999389648438,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0
1596,False,True,False,True,True,70.3499984741211,120.25,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0
1597,False,True,False,True,True,96.9000015258789,4473.4501953125,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0
1599,False,True,True,True,True,80.4000015258789,5717.85009765625,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1
1600,True,False,False,True,True,88.80000305175781,88.80000305175781,0,0,1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0
1601,False,True,False,True,True,94.6500015258789,4312.5,0,0,1,0,1,0,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0
1602,False,False,False,True,True,90.25,2755.35009765625,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0
1603,False,False,False,True,True,64.6500015258789,994.5499877929688,0,1,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0
1604,False,True,True,True,False,95.75,6511.25,0,0,1,0,1,0,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1
1606,True,True,True,True,True,104.0999984741211,7447.7001953125,0,0,1,1,0,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1
1607,True,True,False,True,True,89.05000305175781,1169.3499755859375,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0
1609,False,True,False,True,True,111.55000305175781,5720.35009765625,0,0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0
1610,False,True,True,True,False,60.5,3121.449951171875,0,0,1,1,0,1,0,0,1,0,1,1,0,0,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0
1611,False,True,False,True,True,90.94999694824219,6468.60009765625,0,1,0,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1
1612,False,True,True,True,False,87.4000015258789,5918.7998046875,0,0,1,0,1,0,1,1,0,0,1,0,1,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1
1617,False,False,False,True,False,59.45000076293945,1611.6500244140625,0,0,1,0,1,1,0,1,0,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0
1618,True,False,False,True,True,94.75,2293.60009765625,0,1,0,1,0,0,1,1,0,0,1,1,0,1,0,0,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0
1619,False,False,False,True,True,81.5,5553.25,0,0,1,0,1,1,0,0,1,0,1,0,1,0,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1
1621,False,False,False,True,True,86.44999694824219,3029.10009765625,0,1,0,0,1,0,1,1,0,1,0,1,0,1,0,0,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0
1622,False,True,False,True,False,70.5999984741211,3231.050048828125,0,1,0,1,0,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0
1623,False,False,False,True,True,97.19999694824219,5129.4501953125,0,1,0,0,1,0,1,1,0,0,1,1,0,1,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0
1624,False,True,False,True,True,98.25,5508.35009765625,0,1,0,0,1,0,1,1,0,0,1,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0
1625,False,True,False,True,True,75.75,655.9000244140625,0,1,0,1,0,0,1,1,0,1,0,0,1,1,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0
1626,False,False,False,True,False,59.20000076293945,1191.199951171875,0,0,1,0,1,1,0,0,1,1,0,1,0,0,1,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0
1627,False,False,False,True,True,75.9000015258789,866.4000244140625,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
1628,True,True,False,True,True,90.05000305175781,2627.199951171875,0,1,0,0,1,0,1,1,0,0,1,1,0,1,0,0,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0
1629,False,True,False,True,False,70.94999694824219,4741.4501953125,0,0,1,1,0,1,0,0,1,0,1,0,1,1,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1
1630,True,True,False,True,True,102.5999984741211,4009.199951171875,0,0,1,0,1,0,1,1,0,0,1,0,1,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0
1631,True,True,False,True,True,85.3499984741211,1463.449951171875,0,1,0,0,1,0,1,0,1,1,0,0,1,1,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0
1632,False,False,False,True,True,106.0999984741211,5082.7998046875,0,0,1,0,1,0,1,1,0,0,1,0,1,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0
1633,False,False,False,True,False,43.79999923706055,43.79999923706055,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0
1635,False,False,False,True,True,69.94999694824219,220.4499969482422,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0
1638,False,True,True,True,True,84.4000015258789,5746.75,0,1,0,0,1,0,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1
1639,True,False,False,True,True,45.04999923706055,770.5999755859375,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0
1641,False,True,False,True,True,87.0999984741211,6230.10009765625,0,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1
1643,False,True,False,True,True,90.3499984741211,3419.300048828125,0,0,1,1,0,0,1,1,0,1,0,0,1,0,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0
1644,False,False,False,True,True,109.80000305175781,3587.25,0,1,0,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0
1645,True,False,False,True,True,84.6500015258789,3541.35009765625,0,1,0,0,1,0,1,1,0,1,0,1,0,1,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0
1646,False,True,True,True,False,65.5,3801.300048828125,0,1,0,0,1,1,0,0,1,0,1,1,0,0,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0
1647,False,True,True,True,True,79.5,868.5,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,0,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0
1648,True,True,True,True,True,80.94999694824219,4859.10009765625,0,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0
1649,False,False,False,True,True,56.150001525878906,1439.3499755859375,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0
1650,False,False,False,True,False,85.80000305175781,85.80000305175781,0,1,0,0,1,0,1,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0
1651,True,False,False,True,True,79.0999984741211,79.0999984741211,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0
1655,False,True,True,True,False,44.29999923706055,134.5,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
1656,False,False,False,True,False,90.80000305175781,4921.2001953125,0,1,0,0,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0
1658,False,True,True,True,False,105.94999694824219,5341.7998046875,0,0,1,0,1,0,1,0,1,1,0,0,1,1,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0
1659,False,True,True,True,False,70.80000305175781,4859.9501953125,0,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1
1661,True,True,False,True,True,108.80000305175781,7082.4501953125,0,1,0,0,1,0,1,1,0,0,1,0,1,1,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1
1662,False,False,False,True,True,69.75,324.6000061035156,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0
1663,False,True,False,True,True,94.6500015258789,4812.75,0,0,1,0,1,0,1,1,0,1,0,1,0,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0
1664,False,False,False,True,False,96.05000305175781,4399.5,0,1,0,0,1,0,1,1,0,1,0,1,0,1,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0
